#,Name,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
11,Metapod,Bug,,50,20,55,25,25,30,1,False
14,Kakuna,Bug,Poison,45,25,50,25,25,35,1,False
18,Pidgeot,Normal,Flying,83,80,75,70,70,101,1,False
18,PidgeotMega Pidgeot,Normal,Flying,83,80,80,135,80,121,1,False
31,Nidoqueen,Poison,Ground,90,92,87,75,85,76,1,False
34,Nidoking,Poison,Ground,81,102,77,85,75,85,1,False
36,Clefable,Fairy,,95,70,73,95,90,60,1,False
59,Arcanine,Fire,,90,110,80,100,80,95,1,False
62,Poliwrath,Water,Fighting,90,95,95,70,90,70,1,False
68,Machamp,Fighting,,90,130,80,65,85,55,1,False
79,Slowpoke,Water,Psychic,90,65,65,40,40,15,1,False
80,Slowbro,Water,Psychic,95,75,110,100,80,30,1,False
80,SlowbroMega Slowbro,Water,Psychic,95,75,180,130,80,30,1,False
87,Dewgong,Water,Ice,90,70,80,70,95,70,1,False
89,Muk,Poison,,105,105,75,65,100,50,1,False
97,Hypno,Psychic,,85,73,70,73,115,67,1,False
103,Exeggutor,Grass,Psychic,95,95,85,125,65,55,1,False
108,Lickitung,Normal,,90,55,75,60,75,30,1,False
112,Rhydon,Ground,Rock,105,130,120,45,45,40,1,False
115,Kangaskhan,Normal,,105,95,80,40,80,90,1,False
115,KangaskhanMega Kangaskhan,Normal,,105,125,100,60,100,100,1,False
129,Magikarp,Water,,20,10,55,15,20,80,1,False
130,Gyarados,Water,Flying,95,125,79,60,100,81,1,False
130,GyaradosMega Gyarados,Water,Dark,95,155,109,70,130,81,1,False
131,Lapras,Water,Ice,130,85,80,85,95,60,1,False
134,Vaporeon,Water,,130,65,60,110,95,65,1,False
143,Snorlax,Normal,,160,110,65,65,110,30,1,False
144,Articuno,Ice,Flying,90,85,100,95,125,85,1,True
145,Zapdos,Electric,Flying,90,90,85,125,90,100,1,True
146,Moltres,Fire,Flying,90,100,90,125,85,90,1,True
149,Dragonite,Dragon,Flying,91,134,95,100,100,80,1,False
150,Mewtwo,Psychic,,106,110,90,154,90,130,1,True
150,MewtwoMega Mewtwo X,Psychic,Fighting,106,190,100,154,100,130,1,True
150,MewtwoMega Mewtwo Y,Psychic,,106,150,70,194,120,140,1,True
151,Mew,Psychic,,100,100,100,100,100,100,1,False
160,Feraligatr,Water,,85,105,100,79,83,78,2,False
162,Furret,Normal,,85,76,64,45,55,90,2,False
164,Noctowl,Normal,Flying,100,50,50,76,96,70,2,False
169,Crobat,Poison,Flying,85,90,80,70,80,130,2,False
171,Lanturn,Water,Electric,125,58,58,76,76,67,2,False
175,Togepi,Fairy,,35,20,65,40,65,20,2,False
181,Ampharos,Electric,,90,75,85,115,90,55,2,False
181,AmpharosMega Ampharos,Electric,Dragon,90,95,105,165,110,45,2,False
183,Marill,Water,Fairy,70,20,50,20,50,40,2,False
184,Azumarill,Water,Fairy,100,50,80,60,80,50,2,False
186,Politoed,Water,,90,75,75,90,100,70,2,False
195,Quagsire,Water,Ground,95,85,85,65,65,35,2,False
197,Umbreon,Dark,,95,65,110,60,130,65,2,False
199,Slowking,Water,Psychic,95,75,80,100,110,30,2,False
202,Wobbuffet,Psychic,,190,33,58,33,58,33,2,False
206,Dunsparce,Normal,,100,70,70,65,65,45,2,False
210,Granbull,Fairy,,90,120,75,60,60,45,2,False
213,Shuckle,Bug,Rock,20,10,230,10,230,5,2,False
217,Ursaring,Normal,,90,130,75,75,75,55,2,False
221,Piloswine,Ice,Ground,100,100,80,60,60,50,2,False
231,Phanpy,Ground,,90,60,60,40,40,40,2,False
232,Donphan,Ground,,90,120,120,60,60,50,2,False
233,Porygon2,Normal,,85,80,90,105,95,60,2,False
241,Miltank,Normal,,95,80,105,40,70,100,2,False
243,Raikou,Electric,,90,85,75,115,100,115,2,True
244,Entei,Fire,,115,115,85,90,75,100,2,True
245,Suicune,Water,,100,75,115,90,115,85,2,True
248,Tyranitar,Rock,Dark,100,134,110,95,100,61,2,False
248,TyranitarMega Tyranitar,Rock,Dark,100,164,150,95,120,71,2,False
249,Lugia,Psychic,Flying,106,90,130,90,154,110,2,True
250,Ho-oh,Fire,Flying,106,130,90,110,154,90,2,True
251,Celebi,Psychic,Grass,100,100,100,100,100,100,2,False
260,Swampert,Water,Ground,100,110,90,85,90,60,3,False
260,SwampertMega Swampert,Water,Ground,100,150,110,95,110,70,3,False
275,Shiftry,Grass,Dark,90,100,60,90,60,80,3,False
289,Slaking,Normal,,150,160,100,95,65,100,3,False
295,Exploud,Normal,,104,91,63,91,73,68,3,False
297,Hariyama,Fighting,,144,120,60,40,60,50,3,False
